"id","company_id","type","discount_condition","discount_type","start_date","end_date","image","size_min","size_max","like_count","dislike_count","short_description","time_create","creator_user_id","discount_name","is_archived","fixed_size"
910,1291,Spa & Massage,"1) Перейдите на инстаграм страницу @iris thai spa
2) Выберите процедуру (массаж / спа-программа)
3) При бронировании укажите промокод
4) Наслаждайтесь ссылкой",PROMOCODE,2025-09-15,,https://andersen-benefits.s3.amazonaws.com/IMG_7680e4166f17-7fb1-4247-8773-f0b3ed89dc58.jpg,10.00,10.00,0,0,Andersen,2025-09-15 13:37:32.692,54,"",false,
684,530,Фото та відео,"Хочеш атмосферні та стильні фото, які будуть зачаровувати? Завжди відкладаєш фотосесію, бо не вмієш позувати, не можеш придумати образ, боїшся і т.д? 
Годі відмовок. Олександра з усім допоможе!

💡 Індивідуальні, парні та сімейні зйомки
📍 Комфортна локація або студія на вибір
🎞️ Готові фото протягом 7-10 днів
🌅 1 полароїд одразу після зйомки
📹 Відео-бекстейдж в день зйомки
💵 Три різних пропозиції фотозйомок на вибір
🔥 Живі емоції та естетика в кожному кадрі",PROMOCODE,2025-04-04,,https://andersen-benefits.s3.amazonaws.com/%D0%B7%D0%B0%D0%B2%D0%B0%D0%BD%D1%82%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F%20%288%29c321249d-1878-43d7-a6ec-3dc2c6acc3ed.png,20.00,20.00,1,0,При бронюванні фотосесії вкажи промокод «Андерсен» і отримай знижку -20% на будь-який пакет.,2025-04-04 13:24:05.907,46,"",false,
864,1239,Wellness Studio,Trial workout = 5 GEL Trial hardware massage = 15 GEL (30 minutes) Show promocode while booking the procedure!,PROMOCODE,2025-08-18,,https://andersen-benefits.s3.amazonaws.com/35252365a9812a-df0b-4693-8aba-f03591aa5d56.png,0.00,0.00,0,0,Andersen,2025-08-18 06:29:58.995,53,Special price!,false,
284,149,mybook,premium subscription for a month with promo code,PROMOCODE,2024-05-01,2024-05-31,https://andersen-benefits.s3.amazonaws.com/mybook_logo16f797e5-3c4f-454f-b22a-20fadab0436d.jpeg,25.00,25.00,0,0,premium subscription for a month with promo code,,54,,true,
419,252,My book,"Signing up for a monthly premium subscription
Promocode - 35",PROMOCODE,2024-07-01,2024-07-31,https://andersen-benefits.s3.amazonaws.com/word-image-721a0291051-92a3-41e9-8932-a53ad0f0248d.png,35.00,35.00,0,0,"Signing up for a monthly premium subscription
Promocode - 35",,54,,true,
751,599,Strawberries in chocolate shop,"1) Go to the instagram account: @sylvieberries_astana 
2) Select the desired set
3) Contact the shop via WhatsApp 
4) Click on ""get a promocode"" button to generate the promocode
5) Tell the promocode to the shop worker
6) Enjoy 10% discount",PROMOCODE,2025-05-21,,https://andersen-benefits.s3.amazonaws.com/IMG_371141a29bdc-8bf5-474b-b99e-882066a642c1.jpg,10.00,10.00,0,0,Andersen&flowers,2025-05-21 13:21:41.721,54,"",false,
1286,1720,Центр развития,"Скидка активируется по специальному промокоду и предоставляется на все услуги, кроме акций и интенсивов.",PROMOCODE,2026-05-07,,https://andersen-benefits.s3.amazonaws.com/cropped-imageac32948b-dd58-4aef-9f32-d55a82d2d0d2.jpeg,10.00,10.00,0,0,Andersen10,2026-05-07 09:15:31.918,3167,"",false,
869,1244,Tourism,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-08-21,,https://andersen-benefits.s3.amazonaws.com/logo%20Freshup%20%28green%29e3705fb3-875f-456f-8357-d30b4a3b30ad.png,33.00,33.00,1,0,MAGICANDERSEN,2025-08-21 13:32:44.224,15,"",false,
874,1249,Online bookstore,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-09-01,,https://andersen-benefits.s3.amazonaws.com/thumbnail_logo53bc8f49-d501-4f2f-9a9f-8aabdf39f467ccf43655-8b23-4068-9979-6bb8086d1ff5.jpg,15.00,15.00,0,0,Zimushka2024,2025-09-01 14:39:02.764,18,"",false,
873,1248,Books,By promocode,PROMOCODE,2025-09-01,,https://andersen-benefits.s3.amazonaws.com/58866789937830815770e06ba82-a86f-434a-8bce-651f65892ce0.jpg,10.00,10.00,1,0,Andersen,2025-09-01 13:09:40.101,15,"",false,
220,87,Creative space,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-06-12,,https://andersen-benefits.s3.amazonaws.com/R%20%281%29ad671b07-e973-4c8d-a4f7-330d4d86f319.jpg,10.00,10.00,1,0,Andersen,,18,"",false,
506,339,Laser Studio,"The discount will be applied using a promo code, which you can find under the ""Show at location"" button.",PROMOCODE,2024-11-05,,https://andersen-benefits.s3.amazonaws.com/Image%20%2831%29d61476d5-e667-494b-9af2-80c0eece6faa.jpg,10.00,10.00,0,0,Promo code: Lawenda2024,,18,,false,
572,410,Handmade Candles,"The discount will be applied using a promo code, which you can find under the ""Get a promocode"" button.",PROMOCODE,2025-01-14,,https://andersen-benefits.s3.amazonaws.com/Image%20%2845%29f397015c-df40-426b-bb13-d4b54c0f2c98.jpg,20.00,20.00,0,0,BAOSHI20,2025-01-14 12:55:05.986,18,"",false,
782,1141,Online store,We’ve just unlocked an exclusive 25% off full RRP products at Mizuno - plus an extra 5% off already discounted items!,PROMOCODE,2025-06-05,2026-06-06,https://andersen-benefits.s3.amazonaws.com/MIZUNO_logo.svg567bc0ee-1af9-4642-b148-9eb82c441d97.png,25.00,25.00,0,0,MZN-ANDERSEN-25-5,2025-06-05 13:17:14.340,15,"",false,
831,1200,Board Games,Please provide a promocode to receive a 10% discount.,PROMOCODE,2025-07-14,,https://andersen-benefits.s3.amazonaws.com/logo2-6965e3dbe42-1f77-4406-b19e-806665999daa.jpg,10.00,10.00,0,0,ANDERSEN,2025-07-14 13:14:03.507,15,"",false,
191,66,Pets services,by promo code,PROMOCODE,2024-03-18,2026-02-17,https://andersen-benefits.s3.amazonaws.com/12161607_750513727_large1c99d001-da68-41a2-b16b-304425020afd.jpg,15.00,15.00,8,3,ANDERSEN2025,,15,"",true,
944,1327,HOME FIXTURES,"Should be bought from Hare Krishna Granite & Tiles is a supplier in Lucknow, Uttar Pradesh. and on purchase of minimum INR 50000",SHOW_AT_LOCATION,2025-10-14,,https://andersen-benefits.s3.amazonaws.com/imagesec4c40fa-fcf4-4a70-b732-73a19c8ea9c3.png,10.00,10.00,2,0,Bonus applicable on minimum purchase of 50000,2025-10-14 03:49:30.404,15,"",false,
555,393,Online bookstore,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2026-01-22,,https://andersen-benefits.s3.amazonaws.com/Image%20%2844%29d8f39da3-6d94-4609-ab50-d78e22a8f11f.jpg,15.00,15.00,1,0,ANDERSEN,2025-01-02 17:39:41.247,15,"",false,
1217,1635,Entertainment,Скидка предоставляется на все услуги студии.,PROMOCODE,2026-03-31,2026-06-30,https://andersen-benefits.s3.amazonaws.com/%D0%BB%D0%BE%D0%B3%D0%BE%20%D0%B2%D0%B5%D0%BA%D1%82%D0%BE%D1%80%20%28%D0%BF%D1%80%D0%BE%D0%B7%D1%80%D0%B0%D1%87%D0%BD%D1%8B%D0%B9%20%D1%84%D0%BE%D0%BD%29%20%282%29924f2dee-0a2a-459a-86f8-6a15c2ac0102.png,10.00,10.00,0,0,Мара Андерсен,2026-03-25 12:42:17.747,1171,"",false,
1287,1721,IT-курсы для детей,"Скидка активируется по специальному промокоду. Скидка в размере 15% действует на обучение для детей, 10% - на летний лагерь.",PROMOCODE,2026-05-07,,https://andersen-benefits.s3.amazonaws.com/cropped-imagef368dbd4-242b-4da1-b77f-9ab0c37bac3f.jpeg,10.00,15.00,0,0,ANDERSEN,2026-05-07 10:08:14.780,3167,"",false,
183,54,Delivery of bouquets,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-05-28,,https://andersen-benefits.s3.amazonaws.com/IMG_9523_jpg-scaledafd401ee-ca1f-4eb2-b78d-eea7361dc458.jpg,5.00,15.00,0,0,AndersenLab,,18,"",false,
185,60,Customized Cakes | Bento,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-05-12,,https://andersen-benefits.s3.amazonaws.com/31793e855a4da7537981fe7c3815396d-1024x102448202269-4b98-4099-ad5a-783d471659d6.jpg,10.00,20.00,2,0,Andersen,,18,"",false,
824,1191,English school,"At the online school CIAO, ANDERSEN employees can get a 15% discount on their first month of group English lessons. Simply fill out the form, adding the promo code after your first and last name (e.g., Sam Smith, PROMOCODE), and take a short 30-question test. A school manager will contact you shortly to discuss the next steps. Please note: everyone who registers is eligible for a free trial lesson.",PROMOCODE,2025-07-08,,https://andersen-benefits.s3.amazonaws.com/depositphotos_493905776-stock-il22244c04-d458-4544-b866-69bbf41a113f.png,15.00,15.00,0,0,ANDERSEN,2025-07-08 12:34:11.856,54,"",false,
420,254,Coffee|tea,"10% скидка! По нашему уникальному промокоду. Сказать секретное слово баристе при заказе в заведении. ",PROMOCODE,2024-07-01,,https://andersen-benefits.s3.amazonaws.com/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA%20%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0%202024-04-29%202017480180a834-8582-45a2-b1f8-8431362905900a76bdf1-e278-4a1f-ad09-a83005c46cf7.png,10.00,10.00,3,0,"Сказать, что из ""Андерсен""",,1134,"",false,
664,510,Бьюти процедуры,"Просто скажите секретное слово при записи на прием или введите его при онлайн-регистрации.
",PROMOCODE,2025-06-27,,https://andersen-benefits.s3.amazonaws.com/mTGBKiF4xLU46351b91-775d-4697-bcd4-04dfc91d5ef1.jpg,5.00,5.00,0,0,Секретное слово - Андерсен,2025-03-27 07:32:05.953,1134,"",false,
730,578,Цветочный магазин,"Вы можете использовать промокод при оформлении заказа — он даёт скидку 20% на букет.

Промокод действует при заказе через менеджера колл-центра по номерам:
📞 +7 707 820 07 29
📞 +7 (707) 773 03 29 (доступны звонки, WhatsApp и Telegram)",PROMOCODE,2025-05-08,,https://andersen-benefits.s3.amazonaws.com/4f80b81d7f40c0576592628458df799ec0edd078-1ab0-4b5b-b8e6-776b5fa8159e.jpg,20.00,20.00,0,0,Промокод - Andersen,2025-05-08 10:59:43.848,1134,"",false,
854,1229,Legalization,"- 30% discount on the selected package for each family member of the employee - Bonus: if applying for four family members (e.g., spouse and two children), the fourth person is free - 10% discount on any support package using a ""get a promocode"" button.",PROMOCODE,2025-08-07,,https://andersen-benefits.s3.amazonaws.com/thumbnail_IMG_0580c0baa1f4-b6d4-4b4d-a90a-c6923b73dfe0.jpg,10.00,30.00,1,0,ITMIGRATION10,2025-08-07 09:32:49.041,15,"",false,
263,128,Sushi,"For every order from 150 PLN for delivery - free portion of ""Nigiri filadelfia"" (2 pcs).
Promo code - andersen150

For every order from 200 PLN at the restaurant - 5% discount on the whole check

For every order from 300 PLN at the restaurant - free roll ""Bonito teriyaki 8 szt""

For every order from 400 PLN for delivery - 5% discount + sweet roll 8 pcs
Promocode - andersen400.

For every order from 500 PLN for delivery - 10% discount + free delivery
Promocode - andersen500.",PROMOCODE,2025-06-12,2025-09-30,https://andersen-benefits.s3.amazonaws.com/de-skushtuvaty-ta-zamovyty-sushi-v-cherkasah.12%402xaad01b9d-b2b0-4af6-9106-26598a2af093.jpeg,0.00,0.00,0,0,Andersen,,18,Discounts for Andersen,true,
264,129,Permanent makeup,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-06-12,,https://andersen-benefits.s3.amazonaws.com/OIP%20%281%29d6595ddd-30fc-43da-8efe-595b369b6c21.jpg,10.00,10.00,0,0,Andersen,,18,"",false,
768,1119,Beauty salon,"15% discount for the first visit.

To receive a discount, please provide a promocode.",PROMOCODE,2025-05-29,,https://andersen-benefits.s3.amazonaws.com/5312331236540280351ab904fc7-0fe1-44fd-99d4-8b12f4e6cd3e.jpg,15.00,15.00,0,0,ANDERSENPERKSNOVA,2025-05-28 06:05:18.903,20,"",false,
266,131,LASH and BROW SPACE,It necessary to book the visit by the link (the discount has already been added automatically) ,PROMOCODE,2024-05-01,,https://andersen-benefits.s3.amazonaws.com/OIP%20%282%29fba1a67e-87b4-4712-a79d-3605d927235f.jpg,15.00,15.00,0,0,It necessary to book the visit by the link (the discount has already been added automatically) ,,18,,false,
272,137,Sushi Delivery,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-05-20,,https://andersen-benefits.s3.amazonaws.com/thumb-1920-368725b6f79d80-7679-4578-bdd6-aaebe39fc560.jpg,7.00,7.00,0,0,Andersen,,18,"",false,
281,146,Sound Healing,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-05-20,,https://andersen-benefits.s3.amazonaws.com/Caucasian-masseuse-perform-tibet-sound-therapy-at-relaxed-female.-Young-woman-get-singing-bowls-massage-Hillingdon-scaled-1-1536x102420f56b62-795b-438f-95f5-35c4575d1239.jpeg,10.00,10.00,1,0,Soundersen,,18,"",false,
337,185,Beauty,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-05-20,,https://andersen-benefits.s3.amazonaws.com/Make-up-Hairstyling-scaledddec081a-31dc-43f9-b1b0-bf66ff905dc8.jpeg,10.00,10.00,0,0,Andersen,,18,"",false,
338,186,Beauty salon,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-06-12,,https://andersen-benefits.s3.amazonaws.com/klientam-min2ee1418d-4af7-4b0a-abd9-ee4b1f2b62c8.jpg,10.00,10.00,0,0,Andersen,,18,"",false,
731,579,Развлекательное шоу,"

Чтобы получить скидку 10%, выполните простые шаги:

✅ Позвоните или напишите команде Good Night Show по номеру:
📞 +7 (707) 497-52-76
📍 Или приходите лично: ул. Муратбаева, 61, Алматы

🗣️ При заказе просто скажите секретное слово и получите скидку
",PROMOCODE,2025-05-08,,https://andersen-benefits.s3.amazonaws.com/473401967_605475242234850_4558931015525044658_n405e6e7b-88d9-4f11-af78-920dab02ddd2.jpg,10.00,10.00,0,0,Секретное слово - Andersen,2025-05-08 11:06:56.359,1134,"",false,
256,121,Bead Jewelry,Provide a promocode.,PROMOCODE,2025-05-13,,https://andersen-benefits.s3.amazonaws.com/IMG_93189f516f5b-92bc-4e0c-bd2d-b85c7f674d7b.png,15.00,15.00,0,0,ANDERSENPERKS,,20,"",false,
783,1142,Flowers & Event decoration,"20% discount for the first order. To get the discount:

1) visit instagram page: @violand_flowers or come to their physical shop
2) choose a bouquet 
3) show the promocode
4) enjoy your discount",PROMOCODE,2025-06-05,,https://andersen-benefits.s3.amazonaws.com/IMG_4117efccb9db-a3c7-49c2-b88b-0c780d7f479d.jpg,20.00,20.00,0,0,Andersen&Violand ,2025-06-05 14:05:15.804,1134,"",false,
726,574,Szkoła języka polskiego,"Enter the promo code on the website and then:

- 20% discount on the first month of any A1-C1 group course.
- Even more discount if you pay for the course in full.
- For students - subscriptions to conversation clubs for 50 zł per month!",PROMOCODE,2025-05-06,,https://andersen-benefits.s3.amazonaws.com/5823169643089611433c03f5e37-3eea-4b2d-a90d-5befe1f8f995.jpg,20.00,20.00,3,0,Andersen20,2025-05-06 10:47:17.025,15,"",false,
742,590,Biuro Turystyki Rowerowej,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.",PROMOCODE,2025-05-14,,https://andersen-benefits.s3.amazonaws.com/scaled-xlarge52a53fe4-18f3-4e4a-802b-2ac8d645a557.jpg,20.00,20.00,0,0,Andersen20,2025-05-14 10:20:33.080,18,"",false,
1002,1392,Cosmetology,"The discount will be applied using a promo code, which you can find under the ""get a promocode"" button.

- 10% off your 1st visit and 15% off your 5th visit",PROMOCODE,2025-11-20,,https://andersen-benefits.s3.amazonaws.com/Image%20%2896%295a3dff74-babf-49de-b1a3-51a8796a61bc.jpg,10.00,15.00,0,0,Andersen,2025-11-20 16:03:09.958,18,"",false,
41,42,Ceramic studio,Provide a promocode.,PROMOCODE,2025-05-16,,https://andersen-benefits.s3.amazonaws.com/IMG_8987.jpeg66a300f5-bbe3-49e6-b324-78c5cac0e1da.jpg,10.00,10.00,1,0,ANDERSENPERKS,,20,"",false,
197,72,Nail Studio,Provide a promocode.,PROMOCODE,2025-05-09,,https://andersen-benefits.s3.amazonaws.com/IMG_0251-1-768x1024c6298813-f11d-47b3-b923-c9b11ea2b6cc.jpg,5.00,5.00,0,0,ANDERSENPERKS,,20,"",false,
326,176,hatha yoga,Provide a promocode.,PROMOCODE,2025-06-05,,https://andersen-benefits.s3.amazonaws.com/loon-image-high%20%2814%29b32ab0cd-ecc1-42bd-a662-0df925394a62.jpg,10.00,10.00,0,0,promocode: ANDERSENPERKS,,20,"",false,
504,337,Bakery,Provide a promocode.,PROMOCODE,2024-11-08,,https://andersen-benefits.s3.amazonaws.com/5287524476101190397d243e77d-92cc-4a11-94a5-4f6750a20461.jpg,15.00,15.00,0,0,ANDERSENPERKS,,20,"",false,
799,1159,Gifts and flowers shop,"1) Visit the Instagram page @lux.cvety
2) Select the bouquet you would like to buy
3) Click on ""get the promocode"" button
4) Tell the promocode when making an order
5) Enjoy your discount ",PROMOCODE,2025-06-17,,https://andersen-benefits.s3.amazonaws.com/IMG_44151bf1899c-0049-4e38-822c-ebd1e3caed14.jpg,10.00,10.00,0,0,Lux&Andersen,2025-06-17 07:12:53.432,1134,"",false,
801,1161,Stabilized interior flowers,"1) Go to the Instagram page @amaris_almaty
2) Select the stabilized bouquet that you would like to buy
3) Contact the shop via Instagram or WhatsApp 
4) Tell the promocode",PROMOCODE,2025-06-18,,https://andersen-benefits.s3.amazonaws.com/IMG_4434ee8c4df9-18d5-45e8-aba0-9d2697fdf699.jpg,0.00,0.00,0,0,AMARISHR,2025-06-18 11:35:48.274,1134,A mini composition or branded ,false,
815,1180,Детский центр,"При записи или оплате скажите секретное слово и получите скидку. 
На посещение  -  20 % скидка
На проведение банкетов - 10 %скидка",PROMOCODE,2025-06-27,,https://andersen-benefits.s3.amazonaws.com/Screen_Shot_2024-08-24_at_03.43.005f97cbb7-f2f4-499a-83f0-c240f4dfe6a8.png,10.00,20.00,1,0,Секретное слово - Andersen,2025-06-27 15:19:05.557,1134,"",false,
832,1203,Coffee,It's a 10% discount on coffee bags only.,PROMOCODE,2025-07-15,2025-09-16,https://andersen-benefits.s3.amazonaws.com/%D0%91%D0%B5%D0%B7%20%D0%BD%D0%B0%D0%B7%D0%B2%D0%B0%D0%BD%D0%B8%D1%8Fd99ee49c-7fcd-4e5d-8fcc-71f9f6f5a7c9.png,10.00,10.00,0,0,Andersen10,2025-07-15 16:25:01.458,19,"",true,
507,340,Bakery,Provide a promocode.,PROMOCODE,2024-11-09,,https://andersen-benefits.s3.amazonaws.com/IMG_3275b636aece-d45d-4a84-8de3-9a9ce45a1a4c.jpeg,5.00,5.00,0,0,ANDERSENPERKS,,20,"",false,
556,394,Cosmetologist,Provide a promocode.,PROMOCODE,2025-01-07,,https://andersen-benefits.s3.amazonaws.com/beauty.ludmylae2fb2b8d-efc4-4ce0-b622-266c52300a5c.jpg,10.00,15.00,0,0,ANDERSENPERKS,2025-01-06 11:18:47.598,20,"",false,
557,395,Stylist,Provide a promocode.,PROMOCODE,2025-01-07,,https://andersen-benefits.s3.amazonaws.com/kurpatikee5004f5-43e0-41a6-a970-dc314bf4df17.jpg,10.00,10.00,0,0,ANDERSENPERKS,2025-01-06 12:26:56.579,20,"",false,
559,397,Psychology,Provide a promocode.,PROMOCODE,2025-01-08,,https://andersen-benefits.s3.amazonaws.com/217392258_103703721993654_1839718935330969127_nbcf75049-07ee-445e-87de-52f06231c098.jpg,15.00,25.00,0,0,ANDERSENPERKS,2025-01-07 07:55:44.502,20,"",false,
580,425,Events in Lithuania,Provide a promocode.,PROMOCODE,2025-02-01,,https://andersen-benefits.s3.amazonaws.com/Frame%203231da34c1-47e6-475e-98cf-8dc951f10a0e.jpg,15.00,15.00,0,0,ANDERSENPERKS,2025-01-21 15:16:35.442,20,"",false,
