"id","localization_text","created_at","updated_at"
33,Budapest,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
34,Warsaw,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
35,Krakow,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
36,Wroclaw,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
37,Gdansk,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
38,Poznan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
43,Kazakhstan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
46,Kharkiv,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
47,Dnipro,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
48,Almaty,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
49,Astana,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
50,Szczecin,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
45,Chernihiv,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
44,Cherkasy,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
51,Azerbaijan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
52,Baku,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
53,Armenia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
54,Yerevan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
55,Uzbekistan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
56,Tashkent,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
57,Remote,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
58,Novopolotsk/Polotsk,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
59,India,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
60,Bangalore,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
62,Afghanistan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
63,Albania,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
64,Algeria,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
65,Andorra,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
66,Angola,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
67,Antigua and Barbuda,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
68,Argentina,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
69,Australia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
70,Austria,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
71,Bahamas,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
72,Bahrain,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
73,Bangladesh,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
74,Barbados,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
75,Belgium,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
76,Belize,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
77,Benin,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
78,Bhutan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
79,Bolivia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
80,Bosnia and Herzegovina,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
81,Botswana,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
82,Brazil,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
83,Brunei,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
84,Bulgaria,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
85,Burkina Faso,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
86,Burundi,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
87,Cabo Verde,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
88,Cambodia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
89,Cameroon,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
90,Canada,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
91,Central African Republic,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
92,Chad,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
93,Chile,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
94,China,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
95,Colombia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
96,Comoros,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
97,Congo (Congo-Brazzaville),2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
98,Costa Rica,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
99,Croatia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
100,Cuba,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
101,Cyprus,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
102,Czech Republic,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
103,Democratic Republic of the Congo,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
104,Denmark,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
105,Djibouti,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
106,Dominica,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
107,Dominican Republic,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
108,Ecuador,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
109,Egypt,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
110,El Salvador,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
111,Equatorial Guinea,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
112,Eritrea,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
113,Estonia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
114,Eswatini,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
115,Ethiopia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
116,Fiji,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
117,Finland,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
118,France,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
119,Gabon,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
120,Gambia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
121,Germany,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
122,Ghana,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
123,Greece,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
124,Grenada,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
125,Guatemala,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
126,Guinea,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
127,Guinea-Bissau,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
128,Guyana,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
129,Haiti,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
130,Honduras,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
131,Iceland,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
132,Indonesia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
133,Iran,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
134,Iraq,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
135,Ireland,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
136,Israel,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
137,Italy,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
138,Jamaica,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
139,Japan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
140,Jordan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
141,Kenya,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
142,Kiribati,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
143,Kuwait,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
144,Kyrgyzstan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
145,Laos,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
146,Latvia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
147,Lebanon,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
148,Lesotho,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
149,Liberia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
150,Libya,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
151,Liechtenstein,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
152,Luxembourg,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
153,Madagascar,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
154,Malawi,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
155,Malaysia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
156,Maldives,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
157,Mali,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
158,Malta,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
159,Marshall Islands,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
160,Mauritania,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
161,Mauritius,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
162,Mexico,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
163,Micronesia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
164,Moldova,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
165,Monaco,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
166,Mongolia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
167,Montenegro,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
168,Morocco,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
169,Mozambique,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
170,Myanmar (Burma),2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
171,Namibia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
172,Nauru,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
173,Nepal,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
174,Netherlands,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
175,New Zealand,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
176,Nicaragua,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
177,Niger,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
178,Nigeria,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
179,North Korea,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
180,North Macedonia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
181,Norway,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
182,Oman,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
183,Pakistan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
184,Palau,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
185,Palestine State,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
186,Panama,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
187,Papua New Guinea,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
188,Paraguay,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
189,Peru,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
190,Philippines,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
191,Portugal,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
192,Qatar,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
193,Republic of Korea (South Korea),2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
194,Romania,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
196,Rwanda,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
197,Saint Kitts and Nevis,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
198,Saint Lucia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
199,Saint Vincent and the Grenadines,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
200,Samoa,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
201,San Marino,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
202,Sao Tome and Principe,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
203,Saudi Arabia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
204,Senegal,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
205,Serbia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
206,Seychelles,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
207,Sierra Leone,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
208,Singapore,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
209,Slovakia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
210,Slovenia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
211,Solomon Islands,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
212,Somalia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
213,South Africa,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
214,South Sudan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
215,Spain,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
216,Sri Lanka,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
217,Sudan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
218,Suriname,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
219,Sweden,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
220,Switzerland,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
221,Syria,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
222,Taiwan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
223,Tajikistan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
224,Tanzania,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
225,Thailand,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
226,Timor-Leste,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
227,Togo,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
228,Tonga,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
229,Trinidad and Tobago,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
230,Tunisia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
231,Turkey,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
232,Turkmenistan,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
233,Tuvalu,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
234,Uganda,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
235,United Arab Emirates,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
236,United Kingdom,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
237,United States of America,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
238,Uruguay,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
239,Vanuatu,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
240,Vatican City,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
241,Venezuela,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
242,Vietnam,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
243,Yemen,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
244,Zambia,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
245,Zimbabwe,2026-05-11 16:09:30.929 +0500,2026-05-11 16:09:30.929 +0500
